i,item,reason
5856,KR65333C9660,payment_lag_not_identifiable_from_maturity
5860,KR6593355664,missing_explicit_survival_coupon
5861,20160620000305_3570,unsupported_ki_window
5865,KR6593361662,missing_explicit_survival_coupon
5868,KR6593360664,missing_explicit_survival_coupon
5870,KR65133AJ666,unsupported_ki_window
5872,KR65133AH660,unsupported_ki_window
5876,KR6593363668,missing_explicit_survival_coupon
5882,KR65733E0663,missing_explicit_survival_coupon
5887,KR6733308664,payment_lag_not_identifiable_from_maturity
5888,KR6533303675,extra_formula_or_level_PMT_1_FRML
5892,KR6533307676,missing_explicit_survival_coupon
5893,KR6773355666,missing_explicit_survival_coupon
5895,KR65533CZ669,missing_explicit_survival_coupon
5897,KR6593385661,missing_explicit_survival_coupon
5899,KR6593389663,missing_explicit_survival_coupon
5901,KR6593382668,missing_explicit_survival_coupon
5902,KR65133BA663,unsupported_ki_window
5903,KR6533308674,missing_explicit_survival_coupon
5910,KR6593384664,missing_explicit_survival_coupon
5912,KR65133B9663,unsupported_ki_window
5917,20160627000490_15663,missing_explicit_survival_coupon
5919,KR6593383666,missing_explicit_survival_coupon
5921,20160627000918_3572,unsupported_ki_window
5924,KR6533330678,payment_lag_not_identifiable_from_maturity
5927,KR6583312675,payment_lag_not_identifiable_from_maturity
5931,KR6573307677,missing_explicit_survival_coupon
5932,KR6533342673,payment_lag_not_identifiable_from_maturity
5933,KR6533343671,payment_lag_not_identifiable_from_maturity
5937,KR6533345676,payment_lag_not_identifiable_from_maturity
5940,KR6533344679,payment_lag_not_identifiable_from_maturity
5944,KR6593308671,missing_explicit_survival_coupon
5950,KR6573311679,missing_explicit_survival_coupon
5955,KR6533353670,payment_lag_not_identifiable_from_maturity
5957,KR6533354678,missing_explicit_survival_coupon
5966,KR6533358679,payment_lag_not_identifiable_from_maturity
5968,KR6573333673,missing_explicit_survival_coupon
5975,KR6533317675,extra_formula_or_level_PMT_1_FRML
5976,KR6533321677,missing_explicit_survival_coupon
5979,KR6543306676,nonpositive_annual_coupon
5981,KR6573357672,missing_explicit_survival_coupon
5983,KR6533391670,payment_lag_not_identifiable_from_maturity
5984,KR6533392678,payment_lag_not_identifiable_from_maturity
5985,KR6533390672,payment_lag_not_identifiable_from_maturity
5989,KR6533393676,payment_lag_not_identifiable_from_maturity
5991,KR6593316674,missing_explicit_survival_coupon
5995,KR65333A9670,payment_lag_not_identifiable_from_maturity
5997,KR6663308676,unsupported_ki_window
6001,KR6533389674,payment_lag_not_identifiable_from_maturity
6004,KR6593315676,missing_explicit_survival_coupon
6008,KR6593319678,missing_explicit_survival_coupon
6009,KR6593323670,missing_explicit_survival_coupon
6010,KR6513323677,unsupported_ki_window
6011,KR6593322672,missing_explicit_survival_coupon
6014,KR6573368679,missing_explicit_survival_coupon
6016,KR6503323679,missing_explicit_survival_coupon
6023,KR65333A4671,payment_lag_not_identifiable_from_maturity
6024,KR65333A5678,payment_lag_not_identifiable_from_maturity
6037,KR6543318671,nonpositive_annual_coupon
6038,KR6733314670,payment_lag_not_identifiable_from_maturity
6041,KR6533366672,extra_formula_or_level_PMT_1_FRML
6048,KR65733AZ677,missing_explicit_survival_coupon
6051,KR6553359672,missing_explicit_survival_coupon
6052,KR6543313672,nonpositive_annual_coupon
6053,KR65333B4670,payment_lag_not_identifiable_from_maturity
6054,KR6703341679,extra_formula_or_level_STRK_2
6055,KR65333B5677,payment_lag_not_identifiable_from_maturity
6056,KR6513344673,unsupported_ki_window
6057,KR6513345670,unsupported_ki_window
6059,KR6663316679,unsupported_ki_window
6062,KR65333B7673,payment_lag_not_identifiable_from_maturity
6067,KR6593333679,missing_explicit_survival_coupon
6068,KR6593332671,missing_explicit_survival_coupon
6069,KR65833A1672,payment_lag_not_identifiable_from_maturity
6076,KR65333B6675,payment_lag_not_identifiable_from_maturity
6077,KR65333B8671,payment_lag_not_identifiable_from_maturity
6088,KR6593330675,missing_explicit_survival_coupon
6095,KR6543332672,nonpositive_annual_coupon
6096,KR6593345673,missing_explicit_survival_coupon
6099,KR6503379671,missing_explicit_survival_coupon
6108,KR6523364679,missing_explicit_survival_coupon
6111,KR6503346670,missing_explicit_survival_coupon
6112,KR6593346671,missing_explicit_survival_coupon
6117,KR6543322673,nonpositive_annual_coupon
6118,20160714000065_14079,missing_explicit_survival_coupon
6120,KR6773312675,invalid_evaluation_dates
6123,KR65333AH674,extra_formula_or_level_PMT_1_FRML
6125,KR65733CD670,missing_explicit_survival_coupon
6127,20160715000323_1213,invalid_evaluation_dates
6129,KR6733323671,payment_lag_not_identifiable_from_maturity
6131,KR6553395676,missing_explicit_survival_coupon
6132,KR65333AL676,missing_explicit_survival_coupon
6133,KR6503347678,extra_formula_or_level_STRK_2
6134,KR65333CB673,payment_lag_not_identifiable_from_maturity
6135,KR65333CC671,payment_lag_not_identifiable_from_maturity
6136,KR6543337671,nonpositive_annual_coupon
6143,KR6513366676,unsupported_ki_window
6145,KR6703359671,missing_explicit_survival_coupon
6147,KR65833AM673,payment_lag_not_identifiable_from_maturity
6148,KR6543339677,nonpositive_annual_coupon
6150,KR65333CX677,extra_formula_or_level_PMT_1_FRML
6153,KR65533A8670,missing_explicit_survival_coupon
6160,KR6543338679,nonpositive_annual_coupon
6162,KR6663323675,unsupported_ki_window
6163,KR6593361670,missing_explicit_survival_coupon
6164,KR6593362678,missing_explicit_survival_coupon
6165,KR6593365671,missing_explicit_survival_coupon
6166,KR65333CD679,payment_lag_not_identifiable_from_maturity
6168,KR6593363676,missing_explicit_survival_coupon
6172,KR65333CW679,payment_lag_not_identifiable_from_maturity
6184,KR6543344677,nonpositive_annual_coupon
6194,20160726000442_3590,unsupported_ki_window
6195,KR6503397673,extra_formula_or_level_STRK_2
6203,KR6773326675,missing_explicit_survival_coupon
6205,KR65733DB672,missing_explicit_survival_coupon
6207,KR6533309680,missing_explicit_survival_coupon
6208,KR6543340675,nonpositive_annual_coupon
6212,KR6533307684,missing_explicit_survival_coupon
6219,KR6533333680,payment_lag_not_identifiable_from_maturity
6222,KR6703311680,missing_explicit_survival_coupon
6224,KR6593303680,missing_explicit_survival_coupon
6226,KR6553305683,missing_explicit_survival_coupon
6230,KR6533357689,extra_formula_or_level_PMT_1_FRML
6232,KR6513304685,unsupported_ki_window
6234,KR6513303687,unsupported_ki_window
6235,KR6533332682,payment_lag_not_identifiable_from_maturity
6236,KR6593307681,missing_explicit_survival_coupon
6244,KR6703304685,missing_explicit_survival_coupon
6245,KR6523314682,missing_explicit_survival_coupon
6249,KR6533359685,payment_lag_not_identifiable_from_maturity
6250,KR6543308680,nonpositive_annual_coupon
6255,KR6543309688,nonpositive_annual_coupon
6266,KR6543313680,nonpositive_annual_coupon
6275,KR6533324689,missing_explicit_survival_coupon
6276,KR6533322683,missing_explicit_survival_coupon
6277,KR6533323681,missing_explicit_survival_coupon
6278,KR6553316680,missing_explicit_survival_coupon
6279,KR6543310686,nonpositive_annual_coupon
6280,KR6733310686,payment_lag_not_identifiable_from_maturity
6288,KR6503305684,extra_formula_or_level_STRK_2
6290,KR6553332687,missing_explicit_survival_coupon
6292,KR6533390680,payment_lag_not_identifiable_from_maturity
6294,KR6533391688,payment_lag_not_identifiable_from_maturity
6296,KR6513319683,unsupported_ki_window
6297,KR6543314688,nonpositive_annual_coupon
6301,KR6593310685,missing_explicit_survival_coupon
6304,KR6663305680,unsupported_ki_window
6305,20160801001965_3592,unsupported_ki_window
6311,KR6593314687,missing_explicit_survival_coupon
6322,KR6533393684,payment_lag_not_identifiable_from_maturity
6326,KR6593311683,missing_explicit_survival_coupon
6327,KR6533392686,payment_lag_not_identifiable_from_maturity
6328,KR6593313689,missing_explicit_survival_coupon
6333,KR6523335687,missing_explicit_survival_coupon
6334,KR65333AF686,payment_lag_not_identifiable_from_maturity
6343,KR6573387687,missing_explicit_survival_coupon
6347,KR6773307683,missing_explicit_survival_coupon
6351,KR6533370682,missing_explicit_survival_coupon
6352,KR6513348682,unsupported_ki_window
6357,KR65333B7681,payment_lag_not_identifiable_from_maturity
6358,KR6703333684,missing_explicit_survival_coupon
6360,KR65333B2682,payment_lag_not_identifiable_from_maturity
6362,KR65333B0686,missing_explicit_survival_coupon
6363,KR6543329686,nonpositive_annual_coupon
6364,KR6543327680,nonpositive_annual_coupon
6365,KR6543326682,nonpositive_annual_coupon
6366,KR6543334686,nonpositive_annual_coupon
6369,KR6593337688,missing_explicit_survival_coupon
6371,KR6513347684,unsupported_ki_window
6376,KR6773313681,missing_explicit_survival_coupon
6383,KR65333BA685,missing_explicit_survival_coupon
6384,KR6663313684,unsupported_ki_window
6386,KR65733A6680,missing_explicit_survival_coupon
6387,KR65333BB683,missing_explicit_survival_coupon
6389,KR6733322681,payment_lag_not_identifiable_from_maturity
6390,KR6543335683,nonpositive_annual_coupon
6392,KR6533369684,missing_explicit_survival_coupon
6395,KR6593335682,missing_explicit_survival_coupon
6399,KR6593336680,missing_explicit_survival_coupon
6400,KR6533366680,extra_formula_or_level_PMT_1_FRML
6404,KR6593339684,missing_explicit_survival_coupon
6405,KR6773309689,missing_explicit_survival_coupon
6406,KR65333B3680,payment_lag_not_identifiable_from_maturity
6408,KR65333B1684,missing_explicit_survival_coupon
6410,KR65333AZ684,missing_explicit_survival_coupon
6411,KR65333AY687,payment_lag_not_identifiable_from_maturity
6430,KR6543353686,nonpositive_annual_coupon
6435,KR65333CR687,missing_explicit_survival_coupon
6436,KR65333CT683,missing_explicit_survival_coupon
6437,KR65333CV689,payment_lag_not_identifiable_from_maturity
6441,KR6543328688,nonpositive_annual_coupon
6444,KR6523380683,missing_explicit_survival_coupon
6445,KR65733BL683,missing_explicit_survival_coupon
6446,KR6543348686,nonpositive_annual_coupon
6452,KR6733336681,payment_lag_not_identifiable_from_maturity
6458,KR65333DR685,payment_lag_not_identifiable_from_maturity
6460,KR6593391685,missing_explicit_survival_coupon
6461,KR6593392683,missing_explicit_survival_coupon
6462,KR6593390687,missing_explicit_survival_coupon
6465,20160822000105_14272,payment_lag_not_identifiable_from_maturity
6467,KR6593393681,missing_explicit_survival_coupon
6468,KR65533BL687,missing_explicit_survival_coupon
6470,KR65733BZ683,missing_explicit_survival_coupon
6475,20160822000269_3599,unsupported_ki_window
6476,KR6543355681,nonpositive_annual_coupon
6478,KR65133AA681,unsupported_ki_window
6479,KR6703399685,missing_explicit_survival_coupon
6480,KR6503398689,extra_formula_or_level_STRK_2
6484,KR6543352688,nonpositive_annual_coupon
6487,KR65333DQ687,payment_lag_not_identifiable_from_maturity
6488,KR6663319681,monthly_evaluation_outside_life
6493,20160822000088_14271,missing_explicit_survival_coupon
6499,KR65333DP689,payment_lag_not_identifiable_from_maturity
6504,KR65333DV687,payment_lag_not_identifiable_from_maturity
6506,KR65533BV686,extra_formula_or_level_STRK_2
6515,KR65033B2685,unsupported_redemption_structure
6516,KR6533308690,missing_explicit_survival_coupon
6519,KR65733CC680,missing_explicit_survival_coupon
6520,KR6533309698,payment_lag_not_identifiable_from_maturity
6526,KR6523307694,missing_explicit_survival_coupon
6531,KR6533336691,payment_lag_not_identifiable_from_maturity
6537,KR6663302695,monthly_evaluation_outside_life
6542,KR6703304693,missing_explicit_survival_coupon
6544,KR6543303699,nonpositive_annual_coupon
6545,KR6543301693,nonpositive_annual_coupon
6547,KR6543302691,nonpositive_annual_coupon
6550,KR6733301693,payment_lag_not_identifiable_from_maturity
6558,KR6503303697,extra_formula_or_level_STRK_2
6563,KR6533337699,payment_lag_not_identifiable_from_maturity
6565,KR6593308697,missing_explicit_survival_coupon
6566,KR6533338697,payment_lag_not_identifiable_from_maturity
6567,KR6543309696,nonpositive_annual_coupon
6568,KR6543308698,nonpositive_annual_coupon
6569,KR6553311699,missing_explicit_survival_coupon
6570,KR6593305693,missing_explicit_survival_coupon
6571,KR6533339695,payment_lag_not_identifiable_from_maturity
6574,20160825000148_5845,nonpositive_annual_coupon
6577,KR6543307690,nonpositive_annual_coupon
6583,KR6573328699,missing_explicit_survival_coupon
6585,KR6593307699,missing_explicit_survival_coupon
6586,KR6513306698,unsupported_ki_window
6592,KR6593310693,missing_explicit_survival_coupon
6593,KR6553303696,extra_formula_or_level_STRK_2
6594,KR6703310690,payment_lag_not_identifiable_from_maturity
6595,KR6513307696,unsupported_ki_window
6600,KR6543317699,nonpositive_annual_coupon
6614,20160829000050_14330,payment_lag_not_identifiable_from_maturity
6615,KR6533318699,extra_formula_or_level_PMT_1_FRML
6616,KR6533323699,payment_lag_not_identifiable_from_maturity
6621,KR6573345693,missing_explicit_survival_coupon
6622,KR6533322691,missing_explicit_survival_coupon
6624,20160905000133_15870,missing_explicit_survival_coupon
6630,KR6703337693,missing_explicit_survival_coupon
6634,KR6533376697,missing_explicit_survival_coupon
6638,KR6503326698,extra_formula_or_level_STRK_2
6639,KR6543320693,nonpositive_annual_coupon
6643,KR6733317699,payment_lag_not_identifiable_from_maturity
6644,KR6503365696,unsupported_redemption_structure
6653,KR6533359693,extra_formula_or_level_PMT_1_FRML
6656,KR6533362697,missing_explicit_survival_coupon
6659,KR6533363695,payment_lag_not_identifiable_from_maturity
6660,KR6513327694,unsupported_ki_window
6662,KR6593320692,missing_explicit_survival_coupon
6663,KR6573382696,missing_explicit_survival_coupon
6670,KR6533361699,missing_explicit_survival_coupon
6671,KR6593319694,missing_explicit_survival_coupon
6672,KR6593318696,missing_explicit_survival_coupon
6673,KR6593322698,missing_explicit_survival_coupon
6674,KR6593321690,missing_explicit_survival_coupon
6676,KR6553337694,extra_formula_or_level_STRK_2
6678,KR6583393691,payment_lag_not_identifiable_from_maturity
6679,KR6553335698,missing_explicit_survival_coupon
6687,KR65333AG692,payment_lag_not_identifiable_from_maturity
6688,KR65333AD699,payment_lag_not_identifiable_from_maturity
6692,KR6533394690,payment_lag_not_identifiable_from_maturity
6694,KR65333AF694,payment_lag_not_identifiable_from_maturity
6695,KR6533392694,payment_lag_not_identifiable_from_maturity
6696,KR6533391696,payment_lag_not_identifiable_from_maturity
6698,KR6553334691,missing_explicit_survival_coupon
6700,KR6543328696,nonpositive_annual_coupon
6705,KR6543322699,nonpositive_annual_coupon
6706,KR6543323697,nonpositive_annual_coupon
6717,KR6543330692,nonpositive_annual_coupon
6718,KR65733A1699,missing_explicit_survival_coupon
6719,KR6593349691,missing_explicit_survival_coupon
6723,KR6593348693,missing_explicit_survival_coupon
6724,KR6503366694,extra_formula_or_level_STRK_2
6732,KR65333AN698,missing_explicit_survival_coupon
6733,KR6553385693,missing_explicit_survival_coupon
6741,KR6553386691,missing_explicit_survival_coupon
6744,KR65333AP693,extra_formula_or_level_PMT_1_FRML
6745,KR6543341699,nonpositive_annual_coupon
6747,KR6543343695,nonpositive_annual_coupon
6748,KR6543342697,nonpositive_annual_coupon
6750,KR6543358693,nonpositive_annual_coupon
6751,KR6543332698,nonpositive_annual_coupon
6753,KR65733BC690,missing_explicit_survival_coupon
6756,KR6543331690,nonpositive_annual_coupon
6757,KR6543333696,nonpositive_annual_coupon
6758,KR65333A9696,payment_lag_not_identifiable_from_maturity
6759,KR6543337697,nonpositive_annual_coupon
6760,KR65333A4697,extra_formula_or_level_PMT_1_FRML
6762,KR65733B1698,missing_explicit_survival_coupon
6763,KR6553396690,missing_explicit_survival_coupon
6766,KR6543336699,nonpositive_annual_coupon
6767,KR65333A5694,missing_explicit_survival_coupon
6770,KR65333A6692,missing_explicit_survival_coupon
6771,KR6503387690,extra_formula_or_level_STRK_2
6774,KR6543349692,nonpositive_annual_coupon
6776,KR6543335691,nonpositive_annual_coupon
6777,KR6543348694,nonpositive_annual_coupon
6779,KR65333BH698,missing_explicit_survival_coupon
6782,20160913000146_14427,payment_lag_not_identifiable_from_maturity
6784,KR6733327698,payment_lag_not_identifiable_from_maturity
6791,KR6543351698,nonpositive_annual_coupon
6792,KR6593374699,missing_explicit_survival_coupon
6794,KR6703370694,missing_explicit_survival_coupon
6801,KR6543347696,nonpositive_annual_coupon
6805,KR6543340691,nonpositive_annual_coupon
6807,KR6593373691,missing_explicit_survival_coupon
6808,KR6513396699,unsupported_ki_window
6809,KR6593375696,missing_explicit_survival_coupon
6810,KR6593372693,missing_explicit_survival_coupon
6811,KR6513395691,unsupported_ki_window
6817,KR6593371695,missing_explicit_survival_coupon
6820,KR6543353694,nonpositive_annual_coupon
6821,KR65533AM695,extra_formula_or_level_STRK_2
6823,KR6543352696,nonpositive_annual_coupon
6827,KR65533AL697,missing_explicit_survival_coupon
6828,KR65533AK699,missing_explicit_survival_coupon
6831,KR65333CA691,payment_lag_not_identifiable_from_maturity
6832,KR65333C7698,payment_lag_not_identifiable_from_maturity
6836,KR65333CB699,payment_lag_not_identifiable_from_maturity
6837,KR65533AH695,missing_explicit_survival_coupon
6839,KR65333B2690,payment_lag_not_identifiable_from_maturity
6840,KR65733CH697,missing_explicit_survival_coupon
6847,KR65333AY695,extra_formula_or_level_PMT_1_FRML
6848,KR65333B0694,missing_explicit_survival_coupon
6851,KR65033BC695,unsupported_redemption_structure
6857,KR6543365698,nonpositive_annual_coupon
6858,KR6543362695,nonpositive_annual_coupon
6860,KR6543361697,nonpositive_annual_coupon
6862,KR65933A6696,missing_explicit_survival_coupon
6863,KR6733331690,payment_lag_not_identifiable_from_maturity
6866,KR65333D6699,missing_explicit_survival_coupon
6867,KR65733DF699,missing_explicit_survival_coupon
6869,KR65733CR696,missing_explicit_survival_coupon
6871,KR6541366698,nonpositive_annual_coupon
6873,KR65333076A1,extra_formula_or_level_PMT_1_FRML
6886,KR65133AJ690,unsupported_ki_window
6892,KR65733DK699,missing_explicit_survival_coupon
6894,KR6543364691,nonpositive_annual_coupon
6896,KR65733DA690,missing_explicit_survival_coupon
6897,KR65333096A9,missing_explicit_survival_coupon
6898,KR65033AM696,extra_formula_or_level_STRK_2
6899,KR6773344694,missing_explicit_survival_coupon
6900,KR65333106A6,unsupported_PRCP_GRTE_RT
6901,KR65333126A4,payment_lag_not_identifiable_from_maturity
6903,KR6543367694,nonpositive_annual_coupon
6906,KR65333556A2,payment_lag_not_identifiable_from_maturity
6907,KR65933136A7,missing_explicit_survival_coupon
6911,KR65733106A2,missing_explicit_survival_coupon
6913,KR65333516A6,payment_lag_not_identifiable_from_maturity
6921,KR65933056A7,missing_explicit_survival_coupon
6922,KR65933046A8,missing_explicit_survival_coupon
6925,KR65933076A5,missing_explicit_survival_coupon
6930,KR67033036A4,missing_explicit_survival_coupon
6941,KR65333486A2,payment_lag_not_identifiable_from_maturity
6948,KR65733286A2,missing_explicit_survival_coupon
6950,KR65333476A3,payment_lag_not_identifiable_from_maturity
6953,KR65933166A4,missing_explicit_survival_coupon
6954,KR65933156A5,missing_explicit_survival_coupon
6959,KR65333196A7,extra_formula_or_level_PMT_1_FRML
6961,KR67333176A5,payment_lag_not_identifiable_from_maturity
6962,KR65333806A1,missing_explicit_survival_coupon
6963,KR65333796A4,payment_lag_not_identifiable_from_maturity
6967,KR65333226A2,extra_formula_or_level_PMT_1_FRML
6968,20160929000390_14526,missing_explicit_survival_coupon
6977,KR65433106A5,nonpositive_annual_coupon
6979,KR65433096A8,nonpositive_annual_coupon
6983,KR65333266A8,payment_lag_not_identifiable_from_maturity
6985,KR65333206A4,missing_explicit_survival_coupon
6986,KR65333256A9,missing_explicit_survival_coupon
6987,KR65733466A0,missing_explicit_survival_coupon
6988,KR65133106A8,unsupported_ki_window
6991,KR67033096A8,missing_explicit_survival_coupon
6993,KR65133096A1,unsupported_ki_window
6994,KR65333776A6,payment_lag_not_identifiable_from_maturity
6996,KR65333786A5,payment_lag_not_identifiable_from_maturity
6998,KR66633126A9,unsupported_ki_window
7001,KR65133086A2,unsupported_ki_window
7003,KR65433156A0,nonpositive_annual_coupon
7010,KR65333AB6A3,payment_lag_not_identifiable_from_maturity
7011,KR65333AC6A2,missing_explicit_survival_coupon
7012,KR65433186A7,nonpositive_annual_coupon
7013,KR65033246A3,extra_formula_or_level_STRK_2
7014,KR65333AG6A8,payment_lag_not_identifiable_from_maturity
7016,KR65333A46A3,payment_lag_not_identifiable_from_maturity
7017,KR65333AE6A0,missing_explicit_survival_coupon
7018,KR65333AF6A9,extra_formula_or_level_PMT_1_FRML
7019,KR65333AH6A7,payment_lag_not_identifiable_from_maturity
7026,KR65833656A5,payment_lag_not_identifiable_from_maturity
7029,KR65333AD6A1,missing_explicit_survival_coupon
7033,KR65333A56A2,payment_lag_not_identifiable_from_maturity
7034,KR65733876A0,missing_explicit_survival_coupon
7045,KR65333A86A9,payment_lag_not_identifiable_from_maturity
7049,20161010000454_16029,missing_explicit_survival_coupon
7053,KR65733AH6A3,missing_explicit_survival_coupon
7059,KR65333706A3,missing_explicit_survival_coupon
7060,KR65333716A2,missing_explicit_survival_coupon
7063,KR65433146A1,nonpositive_annual_coupon
7065,KR65333736A0,payment_lag_not_identifiable_from_maturity
7067,KR65333676A8,extra_formula_or_level_PMT_1_FRML
7068,KR65333686A7,extra_formula_or_level_PMT_1_FRML
7071,KR65433136A2,nonpositive_annual_coupon
7078,KR65833786A0,payment_lag_not_identifiable_from_maturity
7080,KR65433216A2,nonpositive_annual_coupon
7082,KR65333BY6A5,payment_lag_not_identifiable_from_maturity
7083,KR65833806A6,payment_lag_not_identifiable_from_maturity
7084,KR65833776A1,payment_lag_not_identifiable_from_maturity
7085,KR65333BZ6A4,payment_lag_not_identifiable_from_maturity
7087,KR65333C16A2,missing_explicit_survival_coupon
7091,KR65733A76A1,missing_explicit_survival_coupon
7094,KR65133306A4,unsupported_ki_window
7095,KR67033396A2,missing_explicit_survival_coupon
7101,KR65733A66A2,missing_explicit_survival_coupon
7104,KR65333B86A7,payment_lag_not_identifiable_from_maturity
7107,KR65333C26A1,payment_lag_not_identifiable_from_maturity
7108,KR65333C76A6,missing_explicit_survival_coupon
7110,KR65333C66A7,payment_lag_not_identifiable_from_maturity
7114,KR65333BW6A7,payment_lag_not_identifiable_from_maturity
7116,KR65933366A0,missing_explicit_survival_coupon
7118,20161013000115_16043,missing_explicit_survival_coupon
7124,KR65933376A9,missing_explicit_survival_coupon
7129,KR65733BJ6A0,missing_explicit_survival_coupon
7140,KR67333296A1,payment_lag_not_identifiable_from_maturity
7141,KR65333B06A5,missing_explicit_survival_coupon
7145,KR65733CC6A6,missing_explicit_survival_coupon
7147,KR65433306A1,nonpositive_annual_coupon
7151,KR65433366A5,nonpositive_annual_coupon
7153,KR65433296A4,nonpositive_annual_coupon
7156,KR65333AX6A7,extra_formula_or_level_PMT_1_FRML
7157,KR65333B26A3,missing_explicit_survival_coupon
7158,KR65333B16A4,missing_explicit_survival_coupon
7159,KR65333AW6A8,extra_formula_or_level_PMT_1_FRML
7160,KR65333B36A2,payment_lag_not_identifiable_from_maturity
7163,KR65133666A1,unsupported_ki_window
7164,KR65133656A2,unsupported_ki_window
7165,KR65833AP6A2,payment_lag_not_identifiable_from_maturity
7168,KR65933506A1,missing_explicit_survival_coupon
7170,KR65833AR6A0,payment_lag_not_identifiable_from_maturity
7172,KR65433446A5,nonpositive_annual_coupon
7175,KR65433436A6,nonpositive_annual_coupon
7176,KR66733196A1,monthly_evaluation_outside_life
7178,KR65333DZ6A2,payment_lag_not_identifiable_from_maturity
7181,KR65333E46A5,payment_lag_not_identifiable_from_maturity
7182,KR65333D66A5,payment_lag_not_identifiable_from_maturity
7183,KR65333D76A4,payment_lag_not_identifiable_from_maturity
7184,KR65933536A8,missing_explicit_survival_coupon
7187,KR67033686A6,missing_explicit_survival_coupon
7188,KR67033696A5,missing_explicit_survival_coupon
7192,KR65133676A0,unsupported_ki_window
7193,KR65133826A1,unsupported_ki_window
7194,20161017000338_3632,unsupported_ki_window
7195,KR65333DY6A3,payment_lag_not_identifiable_from_maturity
7197,KR65933516A0,missing_explicit_survival_coupon
7201,KR65333DX6A4,payment_lag_not_identifiable_from_maturity
7202,KR65333ED6A7,missing_explicit_survival_coupon
7204,KR65333E16A8,payment_lag_not_identifiable_from_maturity
7207,KR65933456A9,missing_explicit_survival_coupon
7208,KR65433416A8,nonpositive_annual_coupon
7209,KR65433506A6,nonpositive_annual_coupon
7210,KR65333EA6A0,payment_lag_not_identifiable_from_maturity
7211,KR65333E26A7,missing_explicit_survival_coupon
7212,KR65333EC6A8,payment_lag_not_identifiable_from_maturity
7213,KR65333EB6A9,missing_explicit_survival_coupon
7215,KR65333E36A6,payment_lag_not_identifiable_from_maturity
7217,KR65033886A6,extra_formula_or_level_STRK_2
7221,KR65333CQ6A4,missing_explicit_survival_coupon
7222,KR65333CK6A0,extra_formula_or_level_PMT_1_FRML
7225,KR65333CJ6A3,extra_formula_or_level_PMT_1_FRML
7227,KR65333CN6A7,missing_explicit_survival_coupon
7231,KR65333CP6A5,missing_explicit_survival_coupon
7234,KR65233AN6A0,missing_explicit_survival_coupon
7235,KR65733CF6A3,missing_explicit_survival_coupon
7244,KR65433526A4,nonpositive_annual_coupon
7245,KR65433516A5,nonpositive_annual_coupon
7251,KR65933726A5,missing_explicit_survival_coupon
7252,KR65733E26A8,missing_explicit_survival_coupon
7254,KR67333366A2,payment_lag_not_identifiable_from_maturity
7263,KR65933786A9,missing_explicit_survival_coupon
7264,KR65933766A1,missing_explicit_survival_coupon
7265,KR65933776A0,missing_explicit_survival_coupon
7266,KR65133A26A9,unsupported_ki_window
7268,KR65833BL6A5,payment_lag_not_identifiable_from_maturity
7269,KR65933716A6,missing_explicit_survival_coupon
7272,KR65333F46A2,extra_formula_or_level_PMT_1_FRML
7274,KR67033AA6A3,missing_explicit_survival_coupon
7275,KR65333126B2,missing_explicit_survival_coupon
7278,KR65333086B8,extra_formula_or_level_PMT_1_FRML
7279,KR65333136B1,missing_explicit_survival_coupon
7283,KR65333F36A3,payment_lag_not_identifiable_from_maturity
7286,KR65333116B3,missing_explicit_survival_coupon
7287,KR65333156B9,unsupported_PRCP_GRTE_RT
7289,KR65333076B9,extra_formula_or_level_PMT_1_FRML
7293,KR65133976A4,unsupported_ki_window
7295,KR65333FL6A6,payment_lag_not_identifiable_from_maturity
7296,KR65333FG6A3,payment_lag_not_identifiable_from_maturity
7297,KR65333FH6A2,payment_lag_not_identifiable_from_maturity
7298,KR65333FE6A5,extra_formula_or_level_PMT_1_FRML
7300,KR65333FK6A7,missing_explicit_survival_coupon
7301,KR65933796A8,missing_explicit_survival_coupon
7302,KR65333FF6A4,extra_formula_or_level_PMT_1_FRML
7303,KR65933016B9,missing_explicit_survival_coupon
7306,KR65333466B2,payment_lag_not_identifiable_from_maturity
7308,KR65333476B1,missing_explicit_survival_coupon
7309,KR65433036B2,nonpositive_annual_coupon
7310,KR65433066B9,nonpositive_annual_coupon
7314,KR65333446B4,missing_explicit_survival_coupon
7316,KR65333456B3,missing_explicit_survival_coupon
7318,KR65033016B8,extra_formula_or_level_STRK_2
7321,KR65333286B4,payment_lag_not_identifiable_from_maturity
7322,KR65333436B5,payment_lag_not_identifiable_from_maturity
7333,KR65333706B1,extra_formula_or_level_PMT_1_FRML
7337,KR65933196B9,missing_explicit_survival_coupon
7338,KR65733396B7,missing_explicit_survival_coupon
7340,KR65333276B5,missing_explicit_survival_coupon
7341,KR65333266B6,missing_explicit_survival_coupon
7343,KR65333226B0,extra_formula_or_level_PMT_1_FRML
7344,KR65333216B1,extra_formula_or_level_PMT_1_FRML
7349,KR65433076B8,nonpositive_annual_coupon
7351,KR67333036B9,payment_lag_not_identifiable_from_maturity
7352,KR66593036B6,averaging_not_supported
7353,KR65333256B7,missing_explicit_survival_coupon
7354,KR65333486B0,unsupported_PRCP_GRTE_RT
7358,KR65133206B4,unsupported_ki_window
7365,KR65933116B7,missing_explicit_survival_coupon
7367,KR67033106B3,missing_explicit_survival_coupon
7369,KR65333896B0,payment_lag_not_identifiable_from_maturity
7370,KR65833156B4,payment_lag_not_identifiable_from_maturity
