payoff,model,monthly,axis,h,contracts,mean_MC_delta,delta_MAE,delta_RMSE,resolved_rows,direction_agreement
legacy,deeponet,False,first_strike,-0.05,64,52.1542614286805,34.7317312463879,45.95639388189246,305,0.8754098360655738
legacy,deeponet,False,first_strike,-0.025,64,23.793368043574826,17.686032694514445,23.489321112335535,280,0.8821428571428571
legacy,deeponet,False,first_strike,-0.01,64,8.910124813097609,7.285367409724401,9.549174510395597,275,0.8727272727272727
legacy,deeponet,False,first_strike,-0.005,64,4.404548459233889,3.7275852720366993,4.851874974421245,260,0.8615384615384616
legacy,deeponet,False,first_strike,0.005,64,-4.217786553293496,3.8944243947714314,5.071758936592477,250,0.876
legacy,deeponet,False,first_strike,0.01,64,-8.208873180871384,7.858629864337357,10.24180613992673,260,0.8423076923076923
legacy,deeponet,False,first_strike,0.025,64,-19.083966193598933,19.872989228693942,25.744460404910342,280,0.7892857142857143
legacy,deeponet,False,first_strike,0.05,64,-33.03256531183979,41.2324719080181,53.70408440922976,285,0.7578947368421053
legacy,deeponet,False,ki_barrier,-0.05,32,163.56664843443062,90.03294437625526,118.40019048125949,160,0.9875
legacy,deeponet,False,ki_barrier,-0.025,32,82.79579381153849,45.99439948622969,59.23686527340631,160,0.9875
legacy,deeponet,False,ki_barrier,-0.01,32,33.211118455696784,18.576717497587147,23.633433741335274,160,0.9875
legacy,deeponet,False,ki_barrier,-0.005,32,16.551832793532004,9.240553794530458,11.877191839610877,160,0.9875
legacy,deeponet,False,ki_barrier,0.005,32,-16.508354244850707,9.199811253568145,11.593816250532031,160,0.9875
legacy,deeponet,False,ki_barrier,0.01,32,-32.94324540855909,18.346721156475688,23.039978469723017,160,0.98125
legacy,deeponet,False,ki_barrier,0.025,32,-81.10604033891187,44.884925185555815,55.611439502375276,160,0.98125
legacy,deeponet,False,ki_barrier,0.05,32,-156.86562535425,85.52292698185747,105.8662667631811,160,0.975
legacy,deeponet,False,last_strike,-0.05,64,38.193334168422176,31.20409737393124,42.06074627153169,295,0.9423728813559322
