item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl
KR65733DQ514,735628,STEP,1,0.85955,0.99502695,0.9967949,0
KR65733DP516,735628,STEP,1,0.8828870000000001,1.0090717,1.0106912,0
KR65033E5511,735628,STEP,0,0.901307,0.9999088,1.0000775,0
KR65033DP511,735628,STEP,0,0.90235735,0.9924024,0.9945036,0
KR65033DQ519,735628,STEP,0,0.91003957,0.9965456,0.9966272,0
KR65033DT513,735628,STEP,0,0.93109021,1.0022978,1.0031753,0
KR65133CH518,735628,STEP,0,0.9350525252525252,1.0044658,1.0051533,0
KR65933D9515,735628,STEP,1,1.035109090909091,1.0112433,1.0116044,0
KR6533310522,735628,STEP,1,0.993,0.9456434,0.94593674,0
KR6543361515,735628,STEP,1,0.9737,0.9971081,0.9998207,0
KR65933DD518,735628,STEP,1,1.0376848484848484,1.0203058,1.022399,0
KR65033DR517,735628,STEP,0,0.97849879,1.0036825,1.0042216,0
KR65033DS515,735628,STEP,0,0.95573913,1.0034025,1.004126,0
KR6583390515,735628,STEP,1,0.9193865,1.0151482,1.0161834,0
KR65033EJ512,735628,STEP,0,0.930385,0.994691,0.9943776,0
KR65733DS510,735628,STEP,1,0.8000109999999999,0.99004257,0.98827356,0
KR65733DR512,735628,STEP,1,0.846183,0.99876916,1.000061,0
KR65033DN516,735628,STEP,0,0.91305749,0.9974901,1.0023714,0
KR67033A6519,735628,STEP,0,0.9436343434343434,1.0080751,1.00912,0
KR65733DT518,735628,STEP,0,0.8587440000000001,1.0063791,1.0116475,0
KR65033DW517,735628,STEP,0,0.91525887,1.0068754,1.0095286,0
KR6583388519,735628,STEP,1,0.9087215,1.0033343,1.0039917,0
KR6583379518,735628,STEP,0,0.8924754999999999,1.003331,1.0027316,0
KR65533C6516,735628,STEP,0,0.9596626262626262,1.0110316,1.0149926,0
KR65033DY513,735628,STEP,1,0.91850057,1.0069413,1.0050993,0
KR6583391513,735628,STEP,1,0.8532190000000001,1.0004987,0.99913543,0
KR65033DV519,735628,STEP,0,0.92381974,1.0049119,1.0063386,0
KR65333BF510,735628,STEP,1,0.9994949494949495,1.0054213,1.0066775,0
KR65033DX515,735628,STEP,1,0.91207633,0.99798715,0.9981423,0
KR6573317528,735631,STEP,1,0.8523280000000001,0.9682772,0.9669378,0
KR6573315522,735631,STEP,0,0.865874,1.0049108,1.0069857,0
KR6703315525,735631,STEP,1,0.9241131313131312,1.0126199,1.0133744,0
