payoff,cohort,model,seed,scope,structure,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,regular_test,augmented_delta,47,terms,LIZARD no-KI,800,32,85.99502751249678,120.20577032247856,0.9556956958457127,9.938354984221487,18.463344408578294,-0.7870796555087956,0.16796875,0.53515625,0.7200520833333334,691,0.9377713458755427
detailed,regular_test,augmented_delta,47,terms,STEP KI,1056,32,72.57182630492848,95.06624800256627,0.9640740280565914,9.148708375902824,17.866500619261316,-0.9141579674963827,0.2255859375,0.5859375,0.74609375,842,0.9477434679334917
detailed,regular_test,augmented_delta,47,terms,STEP no-KI,800,32,64.74031935889757,82.49574607268605,0.955221196125369,11.015745812626855,20.571196447895247,-1.2956962862632204,0.16536458333333334,0.5299479166666666,0.7161458333333334,728,0.9478021978021978
detailed,regular_test,augmented_delta,ensemble,schedule,LIZARD KI,322,32,65.44702199129429,91.13994910442804,0.869720381553131,45.9007109631969,79.86864501747432,-6.545651866186168,0.043478260869565216,0.18633540372670807,0.35714285714285715,300,0.5866666666666667
detailed,regular_test,augmented_delta,ensemble,schedule,LIZARD no-KI,310,32,97.69655115255438,139.87493994636952,0.9431253943846873,59.796528411002534,110.4232902235147,-16.59466867708186,0.02258064516129032,0.16774193548387098,0.2903225806451613,292,0.8458904109589042
detailed,regular_test,augmented_delta,ensemble,schedule,STEP KI,313,32,93.63260110871774,144.92276573822787,0.9192753402095228,65.92203762754205,121.25810508409909,-20.773405957151198,0.03514376996805112,0.15335463258785942,0.25559105431309903,283,0.6537102473498233
detailed,regular_test,augmented_delta,ensemble,schedule,STEP no-KI,322,32,113.15724563309732,166.7519071327962,0.8145853780584439,84.87025692276893,148.54326009220534,-18.03609551903324,0.015527950310559006,0.12422360248447205,0.2329192546583851,281,0.7544483985765125
detailed,regular_test,augmented_delta,ensemble,terms,LIZARD KI,1056,32,46.18735985593362,53.98843692978382,0.9513241349455712,7.055566006852168,13.590461976536478,0.02717892816145051,0.2470703125,0.6376953125,0.79296875,731,0.8823529411764706
detailed,regular_test,augmented_delta,ensemble,terms,LIZARD no-KI,800,32,73.59742303467787,95.38436615126696,0.9721035022002027,9.348661632743244,17.774995604703513,-0.9955968298488352,0.1953125,0.5611979166666666,0.74609375,691,0.9392185238784371
detailed,regular_test,augmented_delta,ensemble,terms,STEP KI,1056,32,63.14862041154913,85.26480949592653,0.9711001578410917,9.126758438724586,18.53237066532865,-1.0327376441817417,0.23046875,0.60546875,0.7607421875,842,0.9619952494061758
