payoff,split,origin,monthly,structure,axis,offset,scope,n_families,mean_delta,median_delta,min_delta,max_delta,mean_delta_se,positive,negative
detailed,stress,previous_canonical,False,LIZARD no-KI,last_strike,0.025,terms,1,-19.714055159075084,-19.714055159075084,-19.714055159075084,-19.714055159075084,0.8943755658597433,0,1
detailed,stress,previous_canonical,False,LIZARD no-KI,last_strike,0.05,terms,1,-37.27164980920429,-37.27164980920429,-37.27164980920429,-37.27164980920429,1.2133522296153278,0,1
detailed,stress,previous_canonical,False,STEP KI,base,0.0,terms,1,0.0,0.0,0.0,0.0,0.0,0,0
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,-0.01,terms,1,-96.11541792935648,-96.11541792935648,-96.11541792935648,-96.11541792935648,0.2450782356464004,0,1
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,-0.005,terms,1,-48.0577089646774,-48.0577089646774,-48.0577089646774,-48.0577089646774,0.1225391178232005,0,1
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,-0.0025,terms,1,-24.02885448233945,-24.02885448233945,-24.02885448233945,-24.02885448233945,0.0612695589115995,0,1
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,-0.001,terms,1,-9.611541792935348,-9.611541792935348,-9.611541792935348,-9.611541792935348,0.0245078235646389,0,1
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,0.001,terms,1,9.611541792937045,9.611541792937045,9.611541792937045,9.611541792937045,0.0245078235646395,1,0
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,0.0025,terms,1,24.028854482339543,24.028854482339543,24.028854482339543,24.028854482339543,0.0612695589116004,1,0
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,0.005,terms,1,48.05770896467912,48.05770896467912,48.05770896467912,48.05770896467912,0.1225391178232011,1,0
detailed,stress,previous_canonical,False,STEP KI,coupon_regular,0.01,terms,1,96.11541792935652,96.11541792935652,96.11541792935652,96.11541792935652,0.2450782356464017,1,0
detailed,stress,previous_canonical,False,STEP KI,first_strike,-0.05,terms,1,5.749654044445976,5.749654044445976,5.749654044445976,5.749654044445976,2.185805111958746,1,0
detailed,stress,previous_canonical,False,STEP KI,first_strike,-0.025,terms,1,-2.8168985685796657,-2.8168985685796657,-2.8168985685796657,-2.8168985685796657,1.4924581769894358,0,1
detailed,stress,previous_canonical,False,STEP KI,first_strike,-0.01,terms,1,-1.8661721162372304,-1.8661721162372304,-1.8661721162372304,-1.8661721162372304,0.930352598016812,0,1
detailed,stress,previous_canonical,False,STEP KI,first_strike,-0.005,terms,1,-1.742242939854443,-1.742242939854443,-1.742242939854443,-1.742242939854443,0.640654338453477,0,1
detailed,stress,previous_canonical,False,STEP KI,first_strike,0.005,terms,1,0.9836249358173272,0.9836249358173272,0.9836249358173272,0.9836249358173272,0.6541231022193936,1,0
detailed,stress,previous_canonical,False,STEP KI,first_strike,0.01,terms,1,2.999692951127272,2.999692951127272,2.999692951127272,2.999692951127272,0.8979874260897985,1,0
detailed,stress,previous_canonical,False,STEP KI,first_strike,0.025,terms,1,8.645985691360082,8.645985691360082,8.645985691360082,8.645985691360082,1.4035116727546446,1,0
detailed,stress,previous_canonical,False,STEP KI,first_strike,0.05,terms,1,21.190483516881777,21.190483516881777,21.190483516881777,21.190483516881777,1.876572062250993,1,0
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,-0.05,terms,1,129.10136886835014,129.10136886835014,129.10136886835014,129.10136886835014,2.538134014539598,1,0
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,-0.025,terms,1,65.5582855624943,65.5582855624943,65.5582855624943,65.5582855624943,1.80407506357492,1,0
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,-0.01,terms,1,25.964172654593607,25.964172654593607,25.964172654593607,25.964172654593607,1.12934299747428,1,0
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,-0.005,terms,1,12.243340070421311,12.243340070421311,12.243340070421311,12.243340070421311,0.7754268396117239,1,0
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,0.005,terms,1,-13.130208034198215,-13.130208034198215,-13.130208034198215,-13.130208034198215,0.8058837944536076,0,1
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,0.01,terms,1,-27.553999000494397,-27.553999000494397,-27.553999000494397,-27.553999000494397,1.1620990942648666,0,1
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,0.025,terms,1,-66.13666032622825,-66.13666032622825,-66.13666032622825,-66.13666032622825,1.7835941211520423,0,1
detailed,stress,previous_canonical,False,STEP KI,ki_barrier,0.05,terms,1,-123.25765491824328,-123.25765491824328,-123.25765491824328,-123.25765491824328,2.4047106676551,0,1
detailed,stress,previous_canonical,False,STEP KI,last_strike,-0.05,terms,1,24.178047002982503,24.178047002982503,24.178047002982503,24.178047002982503,1.029882099431004,1,0
