item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl,hv_ns,iv_boot,iv_ns,hv_ns_se,iv_boot_se,iv_ns_se
KR6613356957,737194,STEP,1,0.941720202020202,0.9953353,0.9514821,3,0.9955796568259597,0.9517168496083468,0.9512837483299896,0.0004108696953776651,0.0009102350919349487,0.0009015229560301439
KR6503375950,737194,LIZARD,0,0.9108484848484848,0.988462,0.94051373,3,0.9882588698253035,0.9391171645818278,0.9388499776121229,0.0005657548848930374,0.0010196271023395402,0.001009469895491032
KR65533A0958,737194,STEP,1,0.93369898989899,0.99678814,0.93303585,3,0.9962514420092106,0.9348057967167348,0.9340879059294239,0.0005519092793898846,0.0010915088926086668,0.0010765460071908133
KR6553399959,737194,STEP,1,0.9189888888888889,1.00338,0.9391538,3,1.0039093486938626,0.9392468490889296,0.9384620697060599,0.0005658799457818144,0.0011201884590019409,0.0011058185723101378
KR6573375955,737194,LIZARD,0,0.9504767676767676,0.9877227,0.99015176,3,0.9879270140398294,0.9903142222300172,0.9899565224993974,0.0005248128108427624,0.000519698450529649,0.000501115190350104
KR65833B4956,737194,STEP,1,0.9259040404040404,0.9984161,0.933969,3,0.9974555026277899,0.9328211802918464,0.932106142761372,0.0006480771202245936,0.0011576341922301871,0.001143147774488115
KR65833B1952,737194,STEP,1,0.9332969696969696,0.9911396,0.92894757,3,0.9924527537386865,0.9291255590485409,0.9285695910355076,0.0006821974404625309,0.0011661913604728283,0.0011503209803674153
KR65833B5953,737194,LIZARD,0,0.9279979797979798,0.9908218,0.94167805,3,0.9916255255211145,0.9422633452197536,0.9420419348379597,0.000566440498652884,0.0010272104139469674,0.0010160309076177518
KR67033A2955,737194,STEP,1,0.9281666666666668,1.0041211,0.9390889,3,1.0030203150529415,0.9398638812020421,0.9392556595480069,0.0005717544989727958,0.001120080831542092,0.001105081346334071
KR65733AA951,737194,STEP,1,0.894035,0.9843566,0.92518336,3,0.9850284723509103,0.9244540534466505,0.9247967765824869,0.0007313032305449002,0.0011629901006202836,0.0011500894918435266
KR6703340952,737194,LIZARD,0,0.9138727272727272,0.9864024,0.9364254,3,0.9871323577541858,0.9363212882380932,0.9362297856641933,0.0006500367140650961,0.0010734211803280758,0.001060981850472102
KR6703334955,737194,STEP,1,0.9438262626262626,1.0064543,0.94290465,3,1.0061319689448922,0.9426089188791812,0.9419640830839053,0.0005083047980429382,0.0010923947781257594,0.0010791875358040447
KR65433BJ957,737196,STEP,1,0.989406,1.000089,0.9819276,3,0.999108493438363,0.9812739150036126,0.9800911202922463,0.0005260078276956775,0.0007552385284921981,0.0007411395690945427
KR6543395950,737196,LIZARD,0,0.987129,0.98948514,0.97659403,3,0.9897771112632007,0.9763808148209006,0.975799533136934,0.0005975781438745251,0.0007608067222727017,0.0007470012687662963
KR6543386959,737199,LIZARD,0,1.0213030303030302,0.9915145,0.9311578,3,0.9905488235227764,0.9305316334016621,0.9303613814752549,0.0005499880511825109,0.0010569248547040201,0.0010457892313930563
KR6543318952,737199,LIZARD,0,1.0157161616161616,0.991068,0.96935946,3,0.9908850062154233,0.969976723510027,0.9694992325045169,0.00042778697635396517,0.0007011807496731288,0.0006917063457692184
KR6543379954,737199,STEP,1,1.0092747474747474,1.0022961,0.9643703,3,1.0017945601217448,0.9650639491576701,0.9641527650304139,0.00047282598530446797,0.0008874758092334014,0.0008749903304209282
KR6543378956,737199,STEP,1,1.0111919191919192,1.0032823,0.9299519,3,1.0029976555619389,0.9304607657980174,0.9303286776613444,0.0005719332401993942,0.0011445303940626845,0.0011280135600173014
KR6543319950,737199,LIZARD,0,1.016939393939394,0.99022114,0.96787333,3,0.9897565486110746,0.967445172265172,0.9670228566430509,0.0004756641617477335,0.0007489911498189798,0.00073774669874569
KR6543387957,737199,LIZARD,0,1.021649494949495,0.9872284,0.94984585,3,0.9875595007024706,0.949281107005477,0.9491154605222866,0.0005943545005060417,0.0009511237058204592,0.0009392864724206038
KR6543380952,737199,STEP,1,1.008450505050505,1.0012007,0.9345562,3,1.0022093497935682,0.9348477180525661,0.9347299307694659,0.0005277675949890241,0.0010976830270954551,0.0010820033749746806
KR6543384954,737200,STEP,1,1.0030343434343436,0.998452,0.9669612,3,0.998092476342246,0.9655258683711291,0.9650797313708812,0.0003697952395998294,0.0007916468669093886,0.0007827760396062178
KR6543336954,737200,LIZARD,0,0.9972818181818182,0.9863387,0.9477744,3,0.9868494614928961,0.948657592137903,0.9481153174974024,0.000605772949751512,0.0009524123269170715,0.0009419238657403285
KR6543385951,737200,STEP,1,1.0015080808080807,0.99472785,0.92636377,3,0.9955926449436694,0.9282293178474531,0.9280932262443006,0.0004112995513870606,0.0010416875018884378,0.0010315268482573553
KR6543335956,737200,LIZARD,0,0.9997575757575758,0.9846421,0.94410354,3,0.9835199502069503,0.9442789583841339,0.9445175179472193,0.000713661691190849,0.0010340322598853438,0.0010190803009178905
KR65433BT956,737200,STEP,1,0.9972696969696968,1.0036944,0.9102368,3,1.0030680371690541,0.9108139175906778,0.9104233571842313,0.0005705495742351648,0.0012376286632571696,0.0012232178935421955
KR65433BS958,737200,STEP,1,0.9972696969696968,1.0038623,0.90991455,3,1.0038054085604846,0.9100560015905649,0.9100902929881588,0.0005615697173307543,0.001239857098360523,0.0012246890175155371
KR6543388955,737200,STEP,1,1.008439393939394,0.9962976,0.94943875,3,0.9969657567691058,0.950488702467084,0.9493709413081407,0.00048037999271786247,0.0009518589284871406,0.0009387126479726185
KR6543389953,737200,STEP,1,1.012149494949495,0.9961563,0.90323913,3,0.9961936096031219,0.90453621737957,0.9046437251120806,0.0005508361080224417,0.0012173442893385407,0.001201675880904804
KR6543347951,737201,STEP,0,1.0242424242424242,0.9826559,0.9279541,3,0.9829385115154088,0.9275174474099651,0.9275835976811125,0.0006956095140986799,0.0011312577368220212,0.0011185412877234664
KR6543348959,737201,LIZARD,0,1.0134343434343434,0.98486197,0.929906,3,0.9849360599011183,0.9299590324230492,0.9298580135826021,0.0006522150996881784,0.0011107262445375836,0.0010990610151454308
KR6543346953,737201,STEP,0,1.0194949494949497,0.97991383,0.92462975,3,0.9818897207323461,0.9260086928425357,0.9258695586597547,0.0007092793164674947,0.0011432063013553262,0.0011305825093014658
KR65433BW950,737201,STEP,1,0.9966858585858588,1.0024539,0.93574494,3,1.0027776832826436,0.9343845905605703,0.9337921199372038,0.0005261689872369607,0.0011267037666378551,0.0011135801353197837
KR65433AP956,737201,LIZARD,0,1.028659595959596,0.989307,0.92974705,3,0.9897544803179801,0.9293551166351884,0.9289838729063049,0.0006101906071811309,0.0011125990745246275,0.0011017118478493606
KR65433AL955,737201,LIZARD,0,1.0239545454545451,0.98833287,0.9305966,3,0.9885354414667934,0.9302990016859025,0.9305292240631766,0.0006246639521774719,0.0011104579346756052,0.00109822474287582
KR6543343950,737201,LIZARD,0,1.0204040404040404,0.98766345,0.9297093,3,0.9868659049414098,0.9295638678833842,0.9293816985908896,0.0005732232568319126,0.0010662175196989626,0.0010561530967299034
KR6543342952,737201,LIZARD,0,1.013131313131313,0.98766625,0.93074834,3,0.9887398732185364,0.9309906543206423,0.9309509004948661,0.0005938436162950075,0.0010799022129608237,0.0010685309663048075
KR6543340956,737201,LIZARD,0,1.044848484848485,0.9842011,0.9280387,3,0.9848253205247224,0.9288826162904501,0.9286702511204407,0.0007007673273823422,0.0011393787911733728,0.0011266932821651352
KR6543381950,737201,STEP,1,1.003760606060606,0.99875754,0.9453716,3,0.9994197702378035,0.9467606651484967,0.9464948251055554,0.0004249212975633256,0.0009904162515418937,0.0009792618586504905
KR6543382958,737201,STEP,1,1.0042838383838384,0.99774396,0.9400167,3,0.9991451421819627,0.9380397069087252,0.9378551423391327,0.00047395202957748974,0.0010565889337352187,0.0010439899323866886
KR65433AJ959,737201,STEP,0,0.979639393939394,0.98811454,0.93460596,3,0.9886189185421914,0.9352469663811848,0.9353072843318805,0.0006192311666295791,0.0010898891122812276,0.0010743745389490006
KR6543341954,737201,STEP,0,1.017272727272727,0.9854886,0.9391048,3,0.9860117330029606,0.9392614697884768,0.9392059687603265,0.0005838381907587816,0.001019223419942914,0.001009367813825431
KR6543334959,737201,LIZARD,0,1.0090656565656566,0.9893042,0.9306184,3,0.9890458411272616,0.9315466820700095,0.9313466553671286,0.0006379409766085666,0.001107987699419179,0.001095983723908302
KR6543332953,737201,LIZARD,0,0.9888444444444444,0.98381156,0.92816454,3,0.9838483208671213,0.9286066105844453,0.9286573433114216,0.0007084051907172685,0.0011416361031629555,0.0011282042726238437
KR65433AW952,737202,LIZARD,0,0.985540404040404,0.9929668,0.9443298,3,0.9926349228471517,0.9433388306289912,0.9432692102139816,0.0004331850324393841,0.0009521487326034685,0.0009416441301032509
KR6543330957,737202,LIZARD,0,0.9988979797979798,0.98773384,0.9531941,3,0.9876102318808436,0.953714663213864,0.9537271650178358,0.0006093386599115339,0.000932325828632253,0.0009201647428211373
KR65433A6956,737202,LIZARD,0,1.0242424242424242,0.99270403,0.9042973,3,0.9928325975317508,0.9050477235497907,0.9049793309519067,0.000497557551437692,0.0012042374032673483,0.0011913776004143625
KR65433A5958,737202,LIZARD,0,1.0128282828282829,0.9933729,0.9020567,3,0.9937297897070646,0.9032943948162719,0.9029804547360167,0.0005100353903031134,0.001224033210586244,0.0012116242772574944
KR6543331955,737202,STEP,0,0.9979242424242424,0.98560333,0.95879316,3,0.9849842264343053,0.9578536971727386,0.9576516666021198,0.0005956161016823926,0.0008848148758455657,0.0008750471761967217
KR65433A0959,737202,STEP,0,1.017979797979798,0.9980024,0.9633966,3,0.9971577018495649,0.9628605811089277,0.9624506799343974,0.0005223114060173914,0.0009010355460107288,0.0008875182236745062
KR65433C5956,737202,LIZARD,0,0.9984,0.9936383,0.90967375,3,0.9939474574502557,0.9097718912603333,0.9098952459223568,0.00046220565461165935,0.0011556377059072475,0.0011453825451921197
KR65433C4959,737202,STEP,1,1.004128282828283,1.0063891,0.95789725,3,1.0062294356130064,0.9564566208546981,0.9555620753010735,0.0005042580368300766,0.0010009239279743657,0.0009863631888105543
KR6543399952,737202,STEP,0,1.0132323232323233,0.99348176,0.8984389,3,0.9936386718861758,0.8976307164426893,0.8976331831434742,0.0006789838825185913,0.0013136418113705232,0.0012976476778315121
KR65433A1957,737202,STEP,0,1.017070707070707,0.99271023,0.91016024,3,0.9926321449540555,0.9099445070559159,0.9098133270362392,0.0005817047644795144,0.0012176681629551495,0.001204422497552003
KR65433B3952,737202,LIZARD,0,0.990661616161616,0.99092007,0.9400746,3,0.989845947174728,0.9412260317005217,0.9408810185495764,0.0005205699639884649,0.0009924145450938631,0.00098091928825216
KR65433B7953,737202,LIZARD,0,0.9964626262626264,0.99140453,0.90121466,3,0.9902498947229237,0.9022045612135902,0.9023652753930539,0.0005411467683477019,0.001209399276321248,0.0011983578143607984
KR65433AR952,737202,STEP,0,0.985980808080808,0.99165976,0.93347436,3,0.9917919202834368,0.9323637010818348,0.9321170021988452,0.0006392275802533629,0.001115761562593432,0.001099784184783293
KR65433BE958,737202,STEP,0,1.0039262626262626,0.97735345,0.89579856,3,0.9771849859390408,0.8955169113195501,0.8959183834882453,0.0007627827442346347,0.0012853296271672539,0.0012729819936233852
KR65433B6955,737202,LIZARD,0,1.0068343434343434,0.9899398,0.9002669,3,0.9897236960284412,0.9003583753105253,0.9005359139457345,0.0005680252398774324,0.0012266700627555647,0.0012156970424370209
KR65433A4951,737202,LIZARD,0,1.018989898989899,0.99118626,0.8979336,3,0.9906540482893587,0.8948221399629489,0.8945372280932963,0.000585540677845894,0.0012706429882934362,0.0012577191667725114
KR6543351953,737202,LIZARD,0,1.0194949494949497,0.978064,0.94630224,3,0.9784736158132553,0.9475813153812662,0.9477790506292134,0.0006630709970889242,0.0009526616857457367,0.0009395740954157878
KR6543344958,737202,LIZARD,0,1.018080808080808,0.980141,0.8924683,3,0.9810677111469209,0.8935211309539154,0.8934696126924828,0.0006261976731297019,0.0012215586344503358,0.001211589680266744
KR65433A2955,737202,STEP,0,1.0204040404040404,0.99151754,0.91029495,3,0.9911446015756578,0.9120456177232787,0.9123532736549154,0.0006013090468061405,0.0012034558361177874,0.0011906552557000571
KR65433A3953,737202,STEP,0,1.0233333333333334,0.9929047,0.9022363,3,0.992672617252171,0.9028579976968467,0.9030608043948188,0.0006312064382723963,0.0012673612832123627,0.0012519432083990594
KR65433AY958,737202,LIZARD,0,0.9852989898989898,0.9939858,0.9444474,3,0.9942834859021008,0.9451051651891321,0.9446240828080102,0.00042404485593158244,0.0009489081543855224,0.0009393248277286542
KR65433B1956,737202,LIZARD,0,0.9975898989898988,0.99158245,0.9421488,3,0.9920222445212304,0.941354518341273,0.9410096603680402,0.0004700700928772135,0.0009793721479744624,0.0009686230862109611
KR6543350955,737202,LIZARD,0,1.0275757575757576,0.9876975,0.9531329,3,0.986094657864049,0.9522647667137906,0.9521488312199712,0.000617864245586808,0.0009474818188365844,0.0009357272538858202
KR6543349957,737202,STEP,0,1.032020202020202,0.98771334,0.9482428,3,0.987378911344707,0.9486710095129907,0.9478587544830516,0.000725065541121107,0.0010560528883445176,0.0010381568455189955
KR65433AS950,737202,STEP,0,1.0036693548387097,0.99742824,0.9389719,3,0.9985989410579205,0.9392320771757513,0.9387986442381516,0.0006515941833116613,0.00112615161843359,0.0011104605973151032
KR65433AT958,737202,LIZARD,0,0.9854747474747476,0.99448436,0.93696296,3,0.9942853475801646,0.9354701504848898,0.9349097687516361,0.0005851988265430686,0.0010838904028262545,0.001069836433627897
KR65433AV954,737202,LIZARD,0,0.955420202020202,0.98905516,0.8926477,3,0.9888428377415985,0.892111211246252,0.892275816221349,0.0006256054485824665,0.0012675809856188436,0.0012548833606973837
