item,reason
20200407000709_24280,missing_explicit_survival_coupon
20200407000709_24281,missing_explicit_survival_coupon
20200413000494_24305,payment_lag_not_identifiable_from_maturity
20200413000494_24306,missing_explicit_survival_coupon
20200413002791_4515,unsupported_ki_window
20200416000010_24349,payment_lag_not_identifiable_from_maturity
20200416000010_24352,missing_explicit_survival_coupon
20200416000010_24353,missing_explicit_survival_coupon
20200416000010_24354,missing_explicit_survival_coupon
20200416000320_1810,payment_lag_not_identifiable_from_maturity
20200417000023_24323,missing_explicit_survival_coupon
20200417000023_24328,payment_lag_not_identifiable_from_maturity
20200417000023_24331,missing_explicit_survival_coupon
20200422000101_24364,missing_explicit_survival_coupon
20200422000101_24368,missing_explicit_survival_coupon
20200423000006_24388,payment_lag_not_identifiable_from_maturity
20200423000025_24393,payment_lag_not_identifiable_from_maturity
20200423000085_6790,unsupported_PRCP_GRTE_RT
20200423000085_6791,unsupported_PRCP_GRTE_RT
20200424000293_344,payment_lag_not_identifiable_from_maturity
20200427000158_24403,missing_explicit_survival_coupon
20200427000401_1811,unsupported_ki_window
20200428000051_24423,payment_lag_not_identifiable_from_maturity
20200428000051_24424,payment_lag_not_identifiable_from_maturity
20200428000051_24425,missing_explicit_survival_coupon
20200428000051_24430,missing_explicit_survival_coupon
20200506000060_24438,missing_explicit_survival_coupon
20200506000060_24442,missing_explicit_survival_coupon
20200506000060_24447,missing_explicit_survival_coupon
20200506000279_6794,unsupported_PRCP_GRTE_RT
20200507000224_24467,missing_explicit_survival_coupon
20200507000224_24468,missing_explicit_survival_coupon
20200507000224_24471,missing_explicit_survival_coupon
20200508000609_4531,unsupported_ki_window
20200508000681_1812,payment_lag_not_identifiable_from_maturity
20200508000882_8670,unsupported_PRCP_GRTE_RT
20200511000712_8680,unsupported_PRCP_GRTE_RT
20200521000167_24518,missing_explicit_survival_coupon
20200521000246_24548,payment_lag_not_identifiable_from_maturity
20200521000246_24550,missing_explicit_survival_coupon
20200521000291_2167,unsupported_PRCP_GRTE_RT
20200521000364_4537,unsupported_ki_window
20200525000248_24560,missing_explicit_survival_coupon
20200525000286_8712,payment_lag_not_identifiable_from_maturity
20200528000113_24592,missing_explicit_survival_coupon
20200528000127_24611,payment_lag_not_identifiable_from_maturity
20200528000127_24613,missing_explicit_survival_coupon
20200528000127_24614,missing_explicit_survival_coupon
20200602000034_24623,missing_explicit_survival_coupon
20200602000034_24630,missing_explicit_survival_coupon
20200604000043_24659,payment_lag_not_identifiable_from_maturity
20200604000043_24660,payment_lag_not_identifiable_from_maturity
20200604000043_24662,missing_explicit_survival_coupon
20200604000043_24663,missing_explicit_survival_coupon
20200604000043_24664,missing_explicit_survival_coupon
20200604000043_24665,missing_explicit_survival_coupon
20200604000250_1815,payment_lag_not_identifiable_from_maturity
20200605000232_351,payment_lag_not_identifiable_from_maturity
20200605000243_24667,extra_formula_or_level_PMT_1_FRML
20200605000243_24668,missing_explicit_survival_coupon
20200605000243_24669,missing_explicit_survival_coupon
20200605000243_24670,missing_explicit_survival_coupon
20200605000243_24671,missing_explicit_survival_coupon
20200605000243_24672,payment_lag_not_identifiable_from_maturity
20200605000243_24673,payment_lag_not_identifiable_from_maturity
20200605000243_24674,missing_explicit_survival_coupon
20200605000243_24675,missing_explicit_survival_coupon
20200605000243_24676,missing_explicit_survival_coupon
20200605000243_24677,missing_explicit_survival_coupon
20200605000243_24678,missing_explicit_survival_coupon
20200605000243_24679,missing_explicit_survival_coupon
20200608000169_4549,unsupported_ki_window
20200610000012_6803,unsupported_PRCP_GRTE_RT
20200611000113_1816,unsupported_ki_window
20200611000119_24713,extra_formula_or_level_PMT_1_FRML
20200611000119_24714,payment_lag_not_identifiable_from_maturity
20200611000119_24715,missing_explicit_survival_coupon
20200611000339_11127,unsupported_PRCP_GRTE_RT
20200611000345_11151,unsupported_PRCP_GRTE_RT
20200612000153_352,payment_lag_not_identifiable_from_maturity
20200618000045_24741,extra_formula_or_level_PMT_1_FRML
20200618000045_24743,payment_lag_not_identifiable_from_maturity
20200624000327_1818,payment_lag_not_identifiable_from_maturity
20200626000030_24772,payment_lag_not_identifiable_from_maturity
20200626000505_4561,unsupported_ki_window
20200626000505_4563,unsupported_ki_window
20200629000191_24781,missing_explicit_survival_coupon
20200629000191_24782,missing_explicit_survival_coupon
20200701000304_1819,unsupported_ki_window
20200709000011_24821,missing_explicit_survival_coupon
20200710000181_24825,missing_explicit_survival_coupon
20200710000181_24826,payment_lag_not_identifiable_from_maturity
20200717000048_24844,missing_explicit_survival_coupon
20200722000282_1822,unsupported_ki_window
20200724000380_359,payment_lag_not_identifiable_from_maturity
20200730000114_24893,missing_explicit_survival_coupon
20200730000118_24903,missing_explicit_survival_coupon
20200803000035_8812,unsupported_PRCP_GRTE_RT
20200806000025_24918,missing_explicit_survival_coupon
20200806000276_1824,unsupported_ki_window
20200813000115_8892,unsupported_PRCP_GRTE_RT
20200828000244_24984,extra_formula_or_level_PMT_1_FRML
20200828000244_24987,payment_lag_not_identifiable_from_maturity
20200828000513_363,payment_lag_not_identifiable_from_maturity
20200831001338_4598,unsupported_ki_window
20200909000239_1828,payment_lag_not_identifiable_from_maturity
20200910000109_25030,extra_formula_or_level_PMT_1_FRML
20200917000241_4614,iv_missing_series
20200921000335_9028,iv_missing_series
20200924000252_19667,unsupported_PRCP_GRTE_RT
20201005000232_25082,payment_lag_not_identifiable_from_maturity
20201007000153_25104,payment_lag_not_identifiable_from_maturity
20201008000644_1831,unsupported_ki_window
20201012000224_4626,unsupported_ki_window
20201013000264_25115,extra_formula_or_level_PMT_1_FRML
20201013000264_25116,missing_explicit_survival_coupon
20201013000264_25117,missing_explicit_survival_coupon
20201013000264_25118,missing_explicit_survival_coupon
20201013000264_25119,missing_explicit_survival_coupon
20201013000264_25120,missing_explicit_survival_coupon
20201013000264_25121,missing_explicit_survival_coupon
20201015000011_25132,payment_lag_not_identifiable_from_maturity
20201029000330_1834,unsupported_ki_window
20201029000436_4639,iv_missing_series
20201106000172_1835,payment_lag_not_identifiable_from_maturity
20201119000107_25238,missing_explicit_survival_coupon
20201120000223_1836,unsupported_ki_window
20201120000263_375,payment_lag_not_identifiable_from_maturity
20201120000263_376,payment_lag_not_identifiable_from_maturity
20201127000079_25253,missing_explicit_survival_coupon
20201127000429_377,payment_lag_not_identifiable_from_maturity
20201210000093_25316,payment_lag_not_identifiable_from_maturity
20201210000093_25320,missing_explicit_survival_coupon
20201210000334_1839,unsupported_ki_window
20201211000208_379,payment_lag_not_identifiable_from_maturity
20201218000507_2377,missing_explicit_survival_coupon
20201224000226_380,iv_missing_series
20201230000196_25399,payment_lag_not_identifiable_from_maturity
20201230000196_25401,missing_explicit_survival_coupon
20201230000196_25403,missing_explicit_survival_coupon
20210104000256_9279,iv_missing_series
20210104000290_4674,unsupported_ki_window
20210107000038_25436,payment_lag_not_identifiable_from_maturity
20210107000038_25437,payment_lag_not_identifiable_from_maturity
20210121000017_25532,missing_explicit_survival_coupon
20210127000069_25568,payment_lag_not_identifiable_from_maturity
20210128000105_25573,extra_formula_or_level_PMT_1_FRML
20210129000345_1844,payment_lag_not_identifiable_from_maturity
